track,model,mae,rmse,r2,precision_at_1,precision_at_3,precision_at_5,train_rows,test_rows,train_profiles,test_profiles,feature_set,leakage_safe
fair,fair_ridge,10.311435446630664,12.185920868973145,0.008844498427820757,0.2,0.2,0.18,6574,1730,38,10,text_and_categorical_no_rubric,True
fair,fair_random_forest,7.373747227663846,9.047615860250952,0.4536217597006337,0.2,0.2333333333333333,0.22000000000000003,6574,1730,38,10,text_and_categorical_no_rubric,True
fair,fair_gradient_boosting,5.8341880449901975,7.265244026444314,0.6476895697829899,0.2,0.26666666666666666,0.24,6574,1730,38,10,text_and_categorical_no_rubric,True
